Construct_Name,Description,Source,Metadata_Value
Technical Vocational,"Courses focus on non-business technical skills, such as Agriculture, Industrial Arts, Automobile and Shop, and Electronics",O*NET,1000
Business Vocational,"Courses focus on basic business skills, such as Word Processing, Filing, Bookkeeping/Basic Accounting",O*NET,1000
English/language Arts,"Courses focus on reading, interpretation, and writing, such as Literature, Composition, Journalism, and Creative Writing",O*NET,1000
Oral Communication,"Courses focus on oral communication and speech, such as Oral Communication, Speech, and Interpersonal Communication",O*NET,1000
Languages,"Courses focus on reading, writing, and/or speaking languages other than English, such as French, Chinese, German, Japanese, Latin, Russian, and Spanish",O*NET,1000
Basic Math,"Courses focus on basic and applied math, such as General Math and Business Math",O*NET,1000
Advanced Math,"Courses focus on advanced topics in math, such as Algebra, Geometry, Calculus, and Statistics",O*NET,1000
Computer Science,"Courses focus on computers and their uses, such as Programming, Information Systems Management, and Software Applications",O*NET,1000
Biological Science,"Courses focus on the study of life and living beings, such as life science, biology, anatomy and physiology",O*NET,1000
Applied Science,"Courses focus on the application of science, such as Engineering, Health, and Medicine",O*NET,1000
Arts,"Courses focus on visual and performing arts, such as Arts and Crafts, Music, Painting, Sculpture, Theater, and Voice",O*NET,1000
Physical Education,"Courses focus on physical fitness and sports, such as Aerobics, Jogging, Weight Lifting, and Specific Sports",O*NET,1000
Job-Related Professional Certification,"Certification: A credential awarded by a certification body based on an individual demonstrating through an examination process that he or she has acquired the designated knowledge, skills, and abilities to perform a specific job.",O*NET,1000
Experience Requirements,Experience Requirements,O*NET,1000
Experience and Training,"If someone were being hired to perform this job, how much of the following would be required?",O*NET,1000
Related Work Experience,Amount of related work experience required to get hired for the job?,O*NET,1000
On-Site or In-Plant Training,"Amount of on-site or in-plant training (e.g., organized class room instruction) required to perform the job?",O*NET,1000
On-the-Job Training,Amount of on the job training required to perform the job?,O*NET,1000
Apprenticeship,"Apprenticeship is a combination of on-the-job training and related instruction in which workers learn the practical and theoretical aspects of a highly skilled occupation. Apprenticeship programs can be sponsored by individual employers, joint employer and labor groups, and/or employer associations.",O*NET,1000
Job-related Apprenticeship,Completion of a job-related apprenticeship to perform the job.,O*NET,1000
Basic Skills - Entry Requirement,Entry requirement for developed capacities that facilitate learning or the more rapid acquisition of knowledge,O*NET,1000
Content - Entry Requirement,Entry requirement for background structures needed to work with and acquire more specific skills in a variety of different domains,O*NET,1000
Reading Comprehension - Entry Requirement,Entry requirement for understanding written sentences and paragraphs in work related documents,O*NET,1000
Active Listening - Entry Requirement,Entry requirement for listening to what other people are saying and asking questions as appropriate,O*NET,1000
Writing - Entry Requirement,Entry requirement for communicating effectively with others in writing as indicated by the needs of the audience,O*NET,1000
Speaking - Entry Requirement,Entry requirement for talking to others to effectively convey information,O*NET,1000
Mathematics - Entry Requirement,Entry requirement for using mathematics to solve problems,O*NET,1000
Science - Entry Requirement,Entry requirement for using scientific methods to solve problems,O*NET,1000
Process - Entry Requirement,Entry requirement for procedures that contribute to the more rapid acquisition of knowledge and skill across a variety of domains,O*NET,1000
Critical Thinking - Entry Requirement,Entry requirement for using logic and analysis to identify the strengths and weaknesses in different approaches,O*NET,1000
